vehicle_id,step,t,command_x_global,command_y,command_v,command_a,realized_x_global,realized_y,realized_v,result
MV_ACTIVE,0,0.0,6889.64,-3.5,16.4,4.0,6889.64,-3.5,16.4,matched
MV_ACTIVE,1,0.1,6891.320000000001,-3.5,16.799999999999997,4.0,6891.320000000001,-3.5,16.799999999999997,matched
MV_ACTIVE,2,0.2,6893.040000000001,-3.5,17.199999999999996,4.0,6893.040000000001,-3.5,17.199999999999996,matched
MV_ACTIVE,3,0.3,6894.800000000001,-3.5,17.599999999999994,4.0,6894.800000000001,-3.5,17.599999999999994,matched
MV_ACTIVE,4,0.4,6896.600000000001,-3.5,17.999999999999993,4.0,6896.600000000001,-3.5,17.999999999999993,matched
MV_ACTIVE,5,0.5,6898.440000000001,-3.5,18.39999999999999,4.0,6898.440000000001,-3.5,18.39999999999999,matched
MV_ACTIVE,6,0.6,6900.3200000000015,-3.5,18.79999999999999,4.0,6900.3200000000015,-3.5,18.79999999999999,matched
MV_ACTIVE,7,0.7,6902.240000000002,-3.5,19.19999999999999,4.0,6902.240000000002,-3.5,19.19999999999999,matched
MV_ACTIVE,8,0.8,6904.200000000002,-3.5,19.599999999999987,4.0,6904.200000000002,-3.5,19.599999999999987,matched
MV_ACTIVE,9,0.9,6906.200000000002,-3.5,19.999999999999986,4.0,6906.200000000002,-3.5,19.999999999999986,matched
MV_ACTIVE,10,1.0,6908.240000000002,-3.5,20.399999999999984,4.0,6908.240000000002,-3.5,20.399999999999984,matched
MV_ACTIVE,11,1.1,6910.318400000002,-3.5,20.783999999999985,3.8400000000000065,6910.318400000002,-3.5,20.783999999999985,matched
MV_ACTIVE,12,1.2,6912.433664000002,-3.5,21.152639999999984,3.686400000000006,6912.433664000002,-3.5,21.152639999999984,matched
MV_ACTIVE,13,1.3,6914.5843174400015,-3.5,21.506534399999985,3.5389440000000065,6914.5843174400015,-3.5,21.506534399999985,matched
MV_ACTIVE,14,1.4,6916.768944742402,-3.5,21.846273023999984,3.397386240000006,6916.768944742402,-3.5,21.846273023999984,matched
MV_ACTIVE,15,1.5,6918.986186952706,-3.5,22.172422103039985,3.2614907904000066,6918.986186952706,-3.5,22.172422103039985,matched
MV_ACTIVE,16,1.6,6921.2347394745975,-3.5,22.485525218918387,3.1310311587840065,6921.2347394745975,-3.5,22.485525218918387,matched
MV_ACTIVE,17,1.7,6923.513349895614,-3.5,22.78610421016165,3.0057899124326455,6923.513349895614,-3.5,22.78610421016165,matched
MV_ACTIVE,18,1.8,6925.8208158997895,-3.5,23.074660041755184,2.88555831593534,6925.8208158997895,-3.5,23.074660041755184,matched
MV_ACTIVE,19,1.9,6928.155983263798,-3.5,23.351673640084975,2.7701359832979264,6928.155983263798,-3.5,23.351673640084975,matched
MV_ACTIVE,20,2.0,6930.517743933246,-3.5,23.617606694481577,2.65933054396601,6930.517743933246,-3.5,23.617606694481577,matched
MV_ACTIVE,21,2.1,6932.905034175916,-3.5,23.872902426702314,2.5529573222073694,6932.905034175916,-3.5,23.872902426702314,matched
